,tweets,len,ID,Date,Source,Likes,RTs
2928,Our scientists have a valuable contribution in India’s progress. https://t.co/RueRrkBpCa,88,1.02966E+18,15-08-18 9:35,Twitter Media Studio,11083,2495
2929,"I thank Mr. António Costa, the Prime Minister of Portugal for penning a wonderful article on the occasion of India'… https://t.co/Re3PSNrf74",140,1.02966E+18,15-08-18 9:34,Twitter Web Client,8556,1931
2930,"With the youth of India. Their smiles, warmth and positivity are a source of great strength. #IndependenceDayIndia https://t.co/EMCmhV8RIw",138,1.02963E+18,15-08-18 7:23,Twitter Web Client,14248,3297
2931,मैं बेसब्र हूं... https://t.co/wWuiDAVDyx,41,1.02963E+18,15-08-18 7:22,Twitter Media Studio,19857,4731
2932,Some more glimpses from the Independence Day celebrations in Delhi. #IndependenceDayIndia https://t.co/KYAxifYbxA,113,1.02963E+18,15-08-18 7:21,Twitter Web Client,9699,2331
2933,"Our Nari Shakti makes us proud.

The evil mindset that perpetuates injustice vis-à-vis women is unacceptable to us.… https://t.co/CKEIqJ2MRM",140,1.02963E+18,15-08-18 7:14,Twitter Media Studio,11295,2797
2934,"There will be no stopping in the movement to eliminate corruption and black money. 

We work for the poor of India,… https://t.co/uklQncaRx3",140,1.02963E+18,15-08-18 7:12,Twitter Media Studio,9669,2597
2935,"Pradhan Mantri Jan Aarogya Abhiyaan, Ayushman Bharat, will transform the lives of 50 crore Indians. 

The poor, neo… https://t.co/y3EnjGiYyK",140,1.02963E+18,15-08-18 7:11,Twitter Media Studio,10109,2696
2936,"The Northeast is making remarkable strides. 

This region is distinguishing itself in sports, organic farming, BPO… https://t.co/jX0SG2Llzx",139,1.02963E+18,15-08-18 7:08,Twitter Media Studio,7522,2077
2937,"OBC Commission, better MSP for famers, OROP.

These were demands that were pending for decades. 

With the blessing… https://t.co/s8QCHW6kx7",140,1.02963E+18,15-08-18 7:07,Twitter Media Studio,7064,1938
2938,"Slowing down is never an option for us. 

The rate at which our country was progressing in 2013, it would take a ve… https://t.co/yMAX1wGXOj",140,1.02963E+18,15-08-18 7:05,Twitter Media Studio,10154,2677
2939,"India is the land of reform, perform and transform. 

The eyes of the world are on us.  #IndependenceDayIndia https://t.co/k2trGZdf5w",133,1.02962E+18,15-08-18 7:03,Twitter Media Studio,9717,2512
2940,India marks Independence Day with great fervour and a sense of gratitude to those great women and men who sacrifice… https://t.co/10vLgGe8oe,140,1.02962E+18,15-08-18 7:01,Twitter Web Client,11264,2906
2941,Paid tributes to Bapu at Raj Ghat this morning. https://t.co/VD2yffjxDH,71,1.02962E+18,15-08-18 6:55,Twitter Web Client,9313,1900
2942,Addressing the people of India from the ramparts of the Red Fort. Watch. https://t.co/thwrgd8nb5,96,1.02955E+18,15-08-18 2:03,Periscope,17163,5000
2943,"Independence Day greetings to the people of India. Jai Hind! #IndependenceDayIndia

स्वतंत्रता दिवस के शुभ अवसर पर… https://t.co/zmOHSnv3G2",139,1.02953E+18,15-08-18 0:37,Twitter for iPhone,41392,9586
2944,"हिन्दी अखबार दैनिक जागरण के साथ मेरा इंटरव्यू, जहां मैंने विभिन्न विषयों पर बात की है - https://t.co/HLjCqnIZzG @JagranNews",123,1.02936E+18,14-08-18 13:28,Twitter Web Client,17081,4069
2945,Shri Balramji Dass Tandon spent decades working for peace and progress in Punjab. Passionate about sectors like ind… https://t.co/C64lOIXWjY,140,1.02931E+18,14-08-18 10:22,Twitter Web Client,9159,1917
2946,"Saddened by the demise of Shri Balramji Dass Tandon, the Governor of Chhattisgarh. We have lost a widely respected… https://t.co/tW0CpibSS6",139,1.02931E+18,14-08-18 10:21,Twitter Web Client,13268,2483
2947,"Shared my thoughts on India’s growth trajectory, our ties with Russia, China and USA, the case for simultaneous ele… https://t.co/es2b5Gy98H",140,1.02901E+18,13-08-18 14:38,Twitter Web Client,14560,3171
2948,"Happy to know. 

Best wishes for your future endeavours. https://t.co/odvL9hp1D1",80,1.02901E+18,13-08-18 14:36,Twitter Web Client,5499,1088
2949,Let us keep innovating in India and make our nation the hub for top quality research and the best ideas. https://t.co/b3GmQB181G,128,1.02901E+18,13-08-18 14:35,Twitter Web Client,5240,1087
2950,Thank you. It was wonderful to be among the brightest minds of India. Youngsters from IIT-B are excelling all over… https://t.co/oFsMBIIw6L,139,1.02901E+18,13-08-18 14:35,Twitter Web Client,5428,1128
2951,"For me, governance and policy making has never been about polls. Elections come and go, the nation is what matters.… https://t.co/zBwLuRfY6y",140,1.02901E+18,13-08-18 14:34,Twitter Web Client,6255,1387
2952,Glad you enjoyed reading them. https://t.co/iCNi8zzg1D,54,1.02901E+18,13-08-18 14:33,Twitter Web Client,4223,881
2953,Former MP and Speaker Shri Somnath Chatterjee was a stalwart of Indian politics. He made our Parliamentary democrac… https://t.co/YPlWq1KtW4,140,1.02886E+18,13-08-18 4:14,Twitter for iPhone,22562,3922
2954,"Sir VS Naipaul will be remembered for his extensive works, which covered diverse subjects ranging from history, cul… https://t.co/XYDzYFmuLW",140,1.02852E+18,12-08-18 5:47,Twitter Web Client,13874,2804
2955,"Sharing my interview with @ANI, in which I speak about several issues including GST, the NRC, jobs and the economy,… https://t.co/3QCnrgzDMX",140,1.02852E+18,12-08-18 5:46,Twitter Web Client,18550,4744
2956,"Answered questions on a wide range of subjects pertaining to politics, the economy, our society, foreign relations… https://t.co/w2emXpOAjR",139,1.02852E+18,12-08-18 5:46,Twitter Web Client,11499,2894
2957,Delighted to address the convocation ceremony at IIT-B. Here is my speech.` https://t.co/KNj8u9AfNz,99,1.02816E+18,11-08-18 6:00,Periscope,15227,3561
2958,"Leaving for Mumbai, where I will join the convocation ceremony at IIT-B. Looking forward to interacting with bright… https://t.co/F6GrMeaUlO",140,1.02811E+18,11-08-18 2:39,Twitter for iPhone,28579,4431
2959,Centre is making significant efforts to transform biomass into biofuel. We are working towards setting up modern re… https://t.co/ZwhqRDJoGk,140,1.02787E+18,10-08-18 10:50,Twitter Web Client,19559,3868
2960,Biofuels can add strength to India's growth story with benefits in cities and villages. We recall the vision of Ata… https://t.co/i0zdEATDob,140,1.02787E+18,10-08-18 10:48,Twitter Web Client,9209,2264
2961,"Joined a programme on World Biofuel Day, which was attended by various stakeholders relating to the sector includin… https://t.co/OtFdsVbI5h",140,1.02787E+18,10-08-18 10:46,Twitter Web Client,6656,1659
